classifier,strategy,target_performance,target_f1_score,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_f1
Logistic Regression,Random Sampling,90,0.1694346387964887,500.0,374.16573867739413,92.37688672053666,0.0,0.18826070977387632
Logistic Regression,Entropy Sampling,90,0.1694346387964887,958.36,1425.4702208043493,85.38862631498705,-91.672,0.18826070977387632
Logistic Regression,Margin Sampling,90,0.1694346387964887,400.0,244.94897427831782,93.90150937642933,20.0,0.18826070977387632
Logistic Regression,Least Confidence,90,0.1694346387964887,400.0,244.94897427831782,93.90150937642933,20.0,0.18826070977387632
Logistic Regression,Random Sampling,95,0.1788476742851825,998.36,1233.5706507533323,84.77877725262998,0.0,0.18826070977387632
Logistic Regression,Entropy Sampling,95,0.1788476742851825,1535.08,2171.81654694866,76.59582253392286,-53.76016667334428,0.18826070977387632
Logistic Regression,Margin Sampling,95,0.1788476742851825,1456.72,1719.5363682109196,77.79051684708035,-45.91129452301775,0.18826070977387632
Logistic Regression,Least Confidence,95,0.1788476742851825,1456.72,1696.114772531623,77.79051684708035,-45.91129452301775,0.18826070977387632
Logistic Regression,Random Sampling,98,0.18449549557839878,3051.8,1892.2507656227806,53.471565787467604,0.0,0.18826070977387632
Logistic Regression,Entropy Sampling,98,0.18449549557839878,2670.16,2614.720064251621,59.29013569141638,12.505406645258546,0.18826070977387632
Logistic Regression,Margin Sampling,98,0.18449549557839878,2135.08,1764.8487509132335,67.44808659856686,30.038665705485297,0.18826070977387632
Logistic Regression,Least Confidence,98,0.18449549557839878,1636.72,1663.125407658725,75.04619606647354,46.36870043908513,0.18826070977387632
Naive Bayes,Random Sampling,90,0.02601561555935264,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Entropy Sampling,90,0.02601561555935264,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Margin Sampling,90,0.02601561555935264,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Least Confidence,90,0.02601561555935264,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Random Sampling,95,0.02746092753487223,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Entropy Sampling,95,0.02746092753487223,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Margin Sampling,95,0.02746092753487223,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Least Confidence,95,0.02746092753487223,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Random Sampling,98,0.028328114720183987,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Entropy Sampling,98,0.028328114720183987,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Margin Sampling,98,0.028328114720183987,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Least Confidence,98,0.028328114720183987,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Neural Network,Random Sampling,90,0.16329233599221282,1696.72,1451.8883295901237,74.13142247293794,0.0,0.18143592888023646
Neural Network,Entropy Sampling,90,0.16329233599221282,2831.8,1897.631407834514,56.82573563043146,-66.89848649158378,0.18143592888023646
